Order_ID,Order_Date_ID,Delivery_Date_ID,Delivery_Days,Car_ID,Customer_ID,Region,Country,Dealer,Sales_Rep,Customer_Type,Order_Channel,Payment_Method,Discount_Pct,Final_Price_USD,Is_Certified_Pre_Owned,Mileage_At_Sale,Warranty_Years,Customer_Satisfaction_Score,Units_Sold
1282,20250507,20250812,97,CAR00202,CUST003402,Asia Pacific,Japan,BMW Tokyo Minato,Ahmed Silva,Individual,Online Configurator,Manufacturer Finance,4.86,81249.56,False,0,4,4.8,1
1283,20230813,20231022,70,CAR00950,CUST000998,Europe,Spain,BMW Madrid Norte,Lucas Khan,Corporate Fleet,Dealership Walk-in,Cash,0.0,90900.0,False,0,4,4.0,1
1284,20260210,20260308,26,CAR00951,CUST003056,North America,Canada,BMW Vancouver,Maria Zhang,Individual,Dealership Walk-in,Manufacturer Finance,1.35,104963.6,False,0,4,4.9,1
1285,20221219,20230214,57,CAR00093,CUST002948,Middle East,Qatar,BMW Doha,Fatima Zhang,Corporate Fleet,Referral,Bank Loan,1.99,76937.85,False,0,4,4.9,1
1286,20250327,20250415,19,CAR00615,CUST001756,Asia Pacific,Australia,BMW Melbourne,Julia Kim,Individual,Online Configurator,Lease,8.09,131890.85,False,0,4,4.0,1
1287,20240101,20240201,31,CAR00542,CUST002681,Asia Pacific,South Korea,BMW Seoul Gangnam,David Tanaka,Individual,Auto Show Event,Lease,5.5,72576.0,False,0,4,4.4,1
1288,20221126,20230113,48,CAR00093,CUST002667,Asia Pacific,China,BMW Shanghai Jing'an,Wei Silva,Individual,Referral,Cash,0.0,92000.0,False,0,4,4.1,1
1289,20240111,20240202,22,CAR00206,CUST003461,Asia Pacific,Australia,BMW Melbourne,Elena Ivanov,Lease Return Buyout,Online Configurator,Bank Loan,3.0,61983.0,False,0,4,4.9,1
1290,20241206,20250326,110,CAR00952,CUST001832,Rest of World,Brazil,BMW São Paulo,Chen Müller,Individual,Dealership Walk-in,Bank Loan,0.94,95890.08,False,0,4,4.3,1
1291,20230709,20231017,100,CAR00953,CUST001329,North America,Canada,BMW Vancouver,Nina Silva,Corporate Fleet,Dealership Walk-in,Manufacturer Finance,7.4,108990.2,False,0,4,3.8,1
1292,20240918,20241111,54,CAR00566,CUST003117,Europe,Switzerland,BMW Zürich,Mia Müller,Individual,Online Configurator,Cash,3.83,75781.96,False,0,4,4.4,1
1293,20220401,20220612,72,CAR00099,CUST002099,Europe,France,BMW Paris Champs-Élysées,Olivia Silva,Individual,Dealership Walk-in,Bank Loan,8.73,129694.67,False,0,4,4.8,1
1294,20231027,20231119,23,CAR00843,CUST001219,North America,Canada,BMW Vancouver,Elena Al-Farsi,Individual,Dealership Walk-in,Bank Loan,1.6,75374.4,False,0,4,4.7,1
1295,20230409,20230617,69,CAR00906,CUST003777,Europe,Italy,BMW Roma,David Kim,Certified Pre-Owned Trade-In,Dealership Walk-in,Bank Loan,4.98,87798.48,True,25167,4,4.7,1
1296,20220125,20220516,111,CAR00954,CUST001661,North America,Mexico,BMW Polanco,Elena Zhang,Individual,Dealership Walk-in,Bank Loan,3.94,138230.34,False,0,4,4.0,1
1297,20240707,20240923,78,CAR00124,CUST002293,Asia Pacific,China,BMW Shanghai Jing'an,Fatima Zhang,Lease Return Buyout,Dealership Walk-in,Manufacturer Finance,0.35,73541.7,False,0,4,4.4,1
1298,20241026,20250212,109,CAR00653,CUST002801,North America,Mexico,BMW Guadalajara,Nina Tanaka,Lease Return Buyout,Dealership Walk-in,Lease,8.8,92203.2,False,0,4,4.5,1
1299,20250804,20250825,21,CAR00955,CUST003477,North America,Canada,BMW Toronto,Omar Tanaka,Individual,Referral,Lease,5.99,123905.18,False,0,4,3.9,1
1300,20230318,20230424,37,CAR00956,CUST003470,Asia Pacific,South Korea,BMW Seoul Gangnam,Daniel Silva,Individual,Online Configurator,Lease,0.0,92100.0,False,0,4,4.8,1
1301,20250114,20250501,107,CAR00297,CUST002638,Asia Pacific,Japan,BMW Tokyo Minato,Anna Nakamura,Individual,Dealership Walk-in,Cash,4.73,90030.15,False,0,4,4.8,1
1302,20230224,20230526,91,CAR00010,CUST003154,Europe,Germany,BMW Stuttgart Zentrum,Omar Tanaka,Lease Return Buyout,Auto Show Event,Lease,4.1,166770.1,False,0,4,4.4,1
1303,20221113,20230302,109,CAR00957,CUST001776,Asia Pacific,Japan,BMW Tokyo Minato,Lucas Khan,Individual,Online Configurator,Bank Loan,2.2,75990.6,False,0,4,4.7,1
1304,20251019,20251106,18,CAR00359,CUST000536,Asia Pacific,Singapore,Performance Motors Singapore,Ahmed Silva,Individual,Dealership Walk-in,Manufacturer Finance,6.18,120277.24,False,0,4,4.4,1
1305,20251224,20260221,59,CAR00958,CUST000341,North America,USA,South Bay BMW,Felix Garcia,Corporate Fleet,Dealership Walk-in,Lease,5.57,90275.08,False,0,4,5.0,1
1306,20241224,20250305,71,CAR00959,CUST000539,Asia Pacific,South Korea,BMW Seoul Gangnam,David Andersson,Individual,Fleet Program,Manufacturer Finance,3.05,89969.6,False,0,4,4.0,1
1307,20250629,20250722,23,CAR00037,CUST000428,Asia Pacific,Australia,BMW Melbourne,Laura Nakamura,Individual,Dealership Walk-in,Lease,0.0,167000.0,False,0,4,4.5,1
1308,20230714,20231110,119,CAR00631,CUST000881,North America,USA,Chicago M Motors,Fatima Rossi,Individual,Dealership Walk-in,Lease,1.86,129054.1,False,0,4,4.7,1
1309,20240328,20240710,104,CAR00411,CUST001072,Middle East,Qatar,BMW Doha,Marco Müller,Individual,Online Configurator,Bank Loan,1.99,125060.76,False,0,4,5.0,1
1310,20220105,20220324,78,CAR00672,CUST001129,Middle East,Qatar,BMW Doha,Nina Silva,Individual,Dealership Walk-in,Lease,0.0,116100.0,False,0,4,3.9,1
1311,20230418,20230728,101,CAR00960,CUST003397,Middle East,Qatar,BMW Doha,David Andersson,Individual,Dealership Walk-in,Cash,4.97,70512.26,False,0,4,4.3,1
1312,20241105,20250226,113,CAR00961,CUST000517,Asia Pacific,South Korea,BMW Seoul Gangnam,Lucas Khan,Individual,Dealership Walk-in,Bank Loan,3.32,167159.72,False,0,4,4.4,1
1313,20250507,20250623,47,CAR00244,CUST000196,North America,USA,BMW of Manhattan,Olivia Silva,Lease Return Buyout,Fleet Program,Manufacturer Finance,0.82,85790.7,False,0,4,4.5,1
1314,20260410,20260715,96,CAR00962,CUST003694,Europe,Switzerland,BMW Zürich,Julia Cohen,Individual,Online Configurator,Lease,1.62,85197.08,False,0,4,4.1,1
1315,20240610,20240828,79,CAR00404,CUST003342,Asia Pacific,South Korea,BMW Seoul Gangnam,Sophie Park,Individual,Dealership Walk-in,Manufacturer Finance,2.13,103057.11,False,0,4,4.2,1
1316,20250705,20251009,96,CAR00963,CUST001994,Asia Pacific,Australia,BMW Melbourne,Nina Silva,Individual,Online Configurator,Lease,3.32,142893.04,False,0,4,4.9,1
1317,20220815,20221018,64,CAR00098,CUST003022,Europe,Switzerland,BMW Zürich,Emma Al-Farsi,Individual,Dealership Walk-in,Manufacturer Finance,0.0,82600.0,False,0,4,4.1,1
1318,20260614,20260805,52,CAR00750,CUST000180,North America,Canada,BMW Toronto,Daniel Kim,Individual,Dealership Walk-in,Cash,4.14,89149.8,False,0,4,4.4,1
1319,20240626,20240829,64,CAR00486,CUST003408,North America,Mexico,BMW Guadalajara,Wei Weber,Individual,Dealership Walk-in,Cash,2.05,86881.65,False,0,4,4.5,1
1320,20260131,20260414,73,CAR00964,CUST001453,North America,Mexico,BMW Guadalajara,Noah Andersson,Lease Return Buyout,Referral,Manufacturer Finance,7.3,108737.1,False,0,4,4.4,1
1321,20230114,20230502,108,CAR00965,CUST003751,North America,Mexico,BMW Polanco,Maria Zhang,Individual,Online Configurator,Lease,0.0,86400.0,False,0,4,4.5,1
1322,20220628,20221022,116,CAR00324,CUST001831,Middle East,Saudi Arabia,BMW Riyadh,Nina Cohen,Individual,Fleet Program,Lease,1.87,92830.98,False,0,4,4.9,1
1323,20230119,20230418,89,CAR00966,CUST002968,Middle East,Saudi Arabia,BMW Riyadh,Ravi Rossi,Lease Return Buyout,Online Configurator,Cash,0.0,83600.0,False,0,4,4.2,1
1324,20220512,20220716,65,CAR00967,CUST002888,North America,Mexico,BMW Polanco,Elena Zhang,Corporate Fleet,Referral,Lease,4.51,86609.43,False,0,4,3.9,1
1325,20230913,20240106,115,CAR00968,CUST002491,North America,Mexico,BMW Polanco,Tom Tanaka,Lease Return Buyout,Online Configurator,Lease,1.64,71704.44,False,0,4,4.7,1
1326,20220123,20220311,47,CAR00337,CUST003071,North America,Mexico,BMW Polanco,Ravi Rossi,Individual,Fleet Program,Bank Loan,3.82,77232.54,False,0,4,3.9,1
1327,20240226,20240414,48,CAR00969,CUST002765,Europe,Switzerland,BMW Zürich,Julia Cohen,Corporate Fleet,Dealership Walk-in,Lease,3.39,134384.51,False,0,4,5.0,1
1328,20241013,20241219,67,CAR00970,CUST000658,Europe,France,BMW Paris Champs-Élysées,Anna Weber,Individual,Dealership Walk-in,Lease,4.34,84276.46,False,0,4,4.1,1
1329,20250725,20251015,82,CAR00863,CUST003696,Europe,Switzerland,BMW Zürich,Marco Müller,Individual,Dealership Walk-in,Manufacturer Finance,3.71,69232.51,False,0,4,4.7,1
1330,20240130,20240327,57,CAR00971,CUST001201,Europe,Germany,BMW Berlin Mitte,Omar Tanaka,Individual,Referral,Manufacturer Finance,2.6,142398.8,False,0,4,4.7,1
1331,20250618,20250727,39,CAR00972,CUST003419,Europe,France,BMW Lyon,Ravi Rossi,Lease Return Buyout,Online Configurator,Lease,5.05,153344.25,False,0,4,4.3,1
1332,20230715,20230825,41,CAR00973,CUST003457,Europe,Switzerland,BMW Zürich,Fatima Rossi,Lease Return Buyout,Online Configurator,Bank Loan,3.29,167791.85,False,0,4,3.9,1
1333,20220921,20221208,78,CAR00974,CUST003055,Europe,Italy,BMW Roma,Wei Khan,Certified Pre-Owned Trade-In,Referral,Cash,1.65,148410.15,True,21918,4,4.8,1
1334,20220916,20221225,100,CAR00553,CUST001704,Europe,Netherlands,BMW Amsterdam,Tom Silva,Individual,Auto Show Event,Cash,3.49,114074.82,False,0,4,4.6,1
1335,20230420,20230707,78,CAR00975,CUST003345,Asia Pacific,Japan,BMW Tokyo Minato,Anna Nakamura,Certified Pre-Owned Trade-In,Online Configurator,Lease,6.66,81765.84,True,25971,4,4.2,1
1336,20220804,20221022,79,CAR00967,CUST002170,Asia Pacific,China,BMW Beijing Chaoyang,Chen Müller,Corporate Fleet,Online Configurator,Bank Loan,0.0,92600.0,False,0,4,5.0,1
1337,20250517,20250804,79,CAR00147,CUST002144,Europe,Netherlands,BMW Amsterdam,Julia Kim,Individual,Dealership Walk-in,Lease,1.82,77562.2,False,0,4,4.5,1
1338,20230312,20230624,104,CAR00510,CUST003811,North America,Canada,BMW Toronto,Noah Andersson,Individual,Dealership Walk-in,Bank Loan,2.75,85288.25,False,0,4,4.3,1
1339,20221107,20221129,22,CAR00976,CUST001622,North America,Mexico,BMW Polanco,David Kim,Individual,Auto Show Event,Cash,0.0,102900.0,False,0,4,4.0,1
1340,20260228,20260429,60,CAR00977,CUST001616,Asia Pacific,Australia,BMW Sydney,Ahmed Silva,Individual,Dealership Walk-in,Manufacturer Finance,3.5,84534.0,False,0,4,4.6,1
1341,20251109,20260206,89,CAR00405,CUST001553,Asia Pacific,Singapore,Performance Motors Singapore,Tom Silva,Individual,Dealership Walk-in,Bank Loan,0.0,117200.0,False,0,4,4.2,1
1342,20230204,20230219,15,CAR00978,CUST000311,North America,USA,BMW of Miami,Marco Schmidt,Individual,Dealership Walk-in,Lease,1.22,125845.72,False,0,4,4.4,1
1343,20230612,20230908,88,CAR00979,CUST000664,Asia Pacific,Japan,BMW Tokyo Minato,Lucas Khan,Individual,Referral,Lease,2.19,159332.49,False,0,4,5.0,1
1344,20220313,20220708,117,CAR00735,CUST002081,North America,Mexico,BMW Guadalajara,Laura Nakamura,Individual,Dealership Walk-in,Lease,3.76,175926.72,False,0,4,4.9,1
1345,20241205,20250112,38,CAR00004,CUST002134,Europe,United Kingdom,BMW Manchester,Lucas Kim,Individual,Dealership Walk-in,Bank Loan,0.0,140100.0,False,0,4,4.5,1
1346,20231020,20240124,96,CAR00980,CUST000781,Asia Pacific,South Korea,BMW Seoul Gangnam,Fatima Rossi,Corporate Fleet,Online Configurator,Cash,1.46,109477.94,False,0,4,4.4,1
1347,20240123,20240520,118,CAR00226,CUST000657,Europe,Germany,BMW Niederlassung München,Omar Tanaka,Individual,Referral,Lease,1.07,90718.81,False,0,4,4.2,1
1348,20250212,20250322,38,CAR00981,CUST000823,Asia Pacific,Australia,BMW Sydney,Omar Tanaka,Individual,Dealership Walk-in,Cash,2.98,88094.16,False,0,4,3.4,1
1349,20220509,20220829,112,CAR00982,CUST002716,Asia Pacific,South Korea,BMW Seoul Gangnam,Karim Murphy,Individual,Dealership Walk-in,Cash,1.9,80736.3,False,0,4,4.5,1
1350,20220422,20220803,103,CAR00983,CUST001214,Rest of World,Brazil,BMW São Paulo,Liam Garcia,Individual,Dealership Walk-in,Bank Loan,4.12,91086.0,False,0,4,4.4,1
1351,20220716,20221105,112,CAR00665,CUST000244,Europe,France,BMW Lyon,Julia Kim,Individual,Fleet Program,Bank Loan,5.62,127507.38,False,0,4,4.5,1
1352,20221220,20230402,103,CAR00254,CUST001564,North America,Canada,BMW Vancouver,David Kim,Lease Return Buyout,Dealership Walk-in,Bank Loan,4.61,94149.93,False,0,4,4.2,1
1353,20221107,20230110,64,CAR00975,CUST002972,Asia Pacific,South Korea,BMW Seoul Gangnam,Karim Murphy,Individual,Online Configurator,Manufacturer Finance,5.17,93597.21,False,0,4,4.8,1
1354,20221016,20221129,44,CAR00984,CUST000671,Europe,United Kingdom,BMW Manchester,Anna Weber,Individual,Dealership Walk-in,Manufacturer Finance,1.49,82945.42,False,0,4,4.1,1
1355,20250704,20250724,20,CAR00985,CUST002810,Europe,United Kingdom,BMW Manchester,David Kim,Individual,Online Configurator,Bank Loan,5.55,131285.5,False,0,4,4.8,1
1356,20240419,20240813,116,CAR00986,CUST003127,Middle East,UAE,BMW Abu Dhabi,Maria Zhang,Individual,Referral,Bank Loan,3.17,78916.45,False,0,4,4.9,1
1357,20241223,20250108,16,CAR00408,CUST001647,North America,Canada,BMW Vancouver,Nina Tanaka,Individual,Online Configurator,Cash,3.52,133528.32,False,0,4,5.0,1
1358,20241111,20250218,99,CAR00513,CUST000013,North America,Mexico,BMW Polanco,Tom Tanaka,Certified Pre-Owned Trade-In,Online Configurator,Lease,1.94,72368.28,True,36978,4,4.4,1
1359,20230223,20230420,56,CAR00613,CUST000132,Europe,Switzerland,BMW Zürich,Elena Cohen,Corporate Fleet,Online Configurator,Manufacturer Finance,7.59,89545.29,False,0,4,4.6,1
1360,20240713,20240907,56,CAR00987,CUST003613,North America,Canada,BMW Vancouver,Olivia Silva,Individual,Online Configurator,Cash,4.58,78053.56,False,0,4,4.6,1
1361,20230817,20231210,115,CAR00988,CUST003710,Middle East,Qatar,BMW Doha,Wei Kim,Individual,Referral,Bank Loan,3.1,101454.3,False,0,4,5.0,1
1362,20251114,20251226,42,CAR00989,CUST002443,North America,Canada,BMW Vancouver,Anna Zhang,Individual,Dealership Walk-in,Bank Loan,0.0,93200.0,False,0,4,4.5,1
1363,20250215,20250314,27,CAR00990,CUST000171,Middle East,Saudi Arabia,BMW Riyadh,Julia Kim,Individual,Referral,Lease,1.61,126923.1,False,0,4,4.8,1
1364,20230816,20231129,105,CAR00991,CUST000917,North America,Canada,BMW Vancouver,Laura Silva,Certified Pre-Owned Trade-In,Dealership Walk-in,Bank Loan,4.47,154472.01,True,32060,4,3.2,1
1365,20241130,20250110,41,CAR00992,CUST003062,North America,Mexico,BMW Polanco,Noah Zhang,Individual,Online Configurator,Lease,4.23,84277.6,False,0,4,4.1,1
1366,20230127,20230425,88,CAR00186,CUST000027,Middle East,UAE,BMW Dubai Sheikh Zayed Rd,Marco Müller,Individual,Dealership Walk-in,Lease,4.09,90826.77,False,0,4,4.4,1
1367,20260429,20260716,78,CAR00469,CUST000490,Middle East,Saudi Arabia,BMW Riyadh,Anna Weber,Individual,Auto Show Event,Bank Loan,8.33,73060.99,False,0,4,4.7,1
1368,20230307,20230609,94,CAR00514,CUST000932,Rest of World,South Africa,BMW Johannesburg,Felix Dubois,Individual,Dealership Walk-in,Manufacturer Finance,2.08,85288.32,False,0,4,3.9,1
1369,20250405,20250424,19,CAR00993,CUST000576,North America,Canada,BMW Toronto,Anna Nakamura,Individual,Dealership Walk-in,Cash,0.9,92163.0,False,0,4,4.1,1
1370,20241029,20250209,103,CAR00674,CUST003605,North America,Mexico,BMW Polanco,Wei Andersson,Individual,Dealership Walk-in,Lease,0.0,125200.0,False,0,4,4.8,1
1371,20260318,20260430,43,CAR00994,CUST001320,Europe,Spain,BMW Madrid Norte,Daniel Silva,Corporate Fleet,Dealership Walk-in,Lease,2.15,94914.5,False,0,4,5.0,1
1372,20230825,20231022,58,CAR00416,CUST001348,Europe,Italy,BMW Milano,Tom Andersson,Individual,Referral,Lease,6.98,141111.34,False,0,4,4.3,1
1373,20230313,20230619,98,CAR00995,CUST003681,Europe,Netherlands,BMW Amsterdam,Elena Ivanov,Lease Return Buyout,Dealership Walk-in,Bank Loan,1.88,137760.48,False,0,4,4.1,1
1374,20240220,20240327,36,CAR00347,CUST001366,North America,Mexico,BMW Polanco,Julia Cohen,Individual,Dealership Walk-in,Lease,0.69,120661.65,False,0,4,4.0,1
1375,20250706,20250828,53,CAR00996,CUST002063,North America,Canada,BMW Toronto,David Tanaka,Individual,Dealership Walk-in,Bank Loan,0.68,123852.04,False,0,4,4.1,1
1376,20251216,20260220,66,CAR00091,CUST000458,Asia Pacific,Japan,BMW Osaka,Wei Andersson,Individual,Auto Show Event,Lease,0.86,136218.36,False,0,4,4.9,1
1377,20250327,20250501,35,CAR00997,CUST000847,Europe,Italy,BMW Roma,Anna Nakamura,Individual,Online Configurator,Lease,0.0,90500.0,False,0,4,4.1,1
1378,20230416,20230729,104,CAR00988,CUST002620,North America,USA,South Bay BMW,Tom Andersson,Individual,Referral,Lease,4.73,87743.67,False,0,4,5.0,1
1379,20250417,20250731,105,CAR00321,CUST003676,Asia Pacific,Japan,BMW Tokyo Minato,Lucas Kim,Individual,Dealership Walk-in,Lease,3.06,83756.16,False,0,4,4.8,1
1380,20251225,20260330,95,CAR00095,CUST001139,Asia Pacific,China,BMW Beijing Chaoyang,Felix Dubois,Corporate Fleet,Online Configurator,Bank Loan,0.0,123300.0,False,0,4,4.7,1
1381,20260417,20260509,22,CAR00998,CUST002877,North America,USA,BMW of Miami,Elena Al-Farsi,Individual,Dealership Walk-in,Lease,4.0,125088.0,False,0,4,4.4,1
1382,20240416,20240624,69,CAR00999,CUST001162,Asia Pacific,China,BMW Beijing Chaoyang,Wei Silva,Corporate Fleet,Online Configurator,Manufacturer Finance,3.1,117636.6,False,0,4,4.8,1
1383,20220717,20221107,113,CAR01000,CUST000738,Middle East,Qatar,BMW Doha,Tom Andersson,Individual,Referral,Bank Loan,3.78,163092.9,False,0,4,4.5,1
1384,20221214,20230225,73,CAR00139,CUST000305,Europe,Spain,BMW Madrid Norte,Nina Andersson,Individual,Dealership Walk-in,Cash,7.62,85081.98,False,0,4,4.1,1
1385,20250619,20250922,95,CAR00425,CUST001794,Europe,Switzerland,BMW Zürich,Fatima Zhang,Certified Pre-Owned Trade-In,Online Configurator,Lease,3.97,96702.21,True,24322,4,4.7,1
1386,20260606,20260816,71,CAR01001,CUST000531,North America,USA,BMW of Austin,Karim Cohen,Corporate Fleet,Dealership Walk-in,Lease,4.46,83024.26,False,0,4,4.0,1
1387,20220223,20220617,114,CAR01002,CUST000323,North America,USA,BMW of Miami,Anna Zhang,Individual,Dealership Walk-in,Bank Loan,5.07,72431.59,False,0,4,4.9,1
1388,20251228,20260424,117,CAR00763,CUST000631,Europe,Italy,BMW Milano,Tom Andersson,Individual,Referral,Lease,1.57,67719.84,False,0,4,4.7,1
1389,20231202,20240224,84,CAR00137,CUST001517,Asia Pacific,Japan,BMW Tokyo Minato,Wei Kim,Individual,Referral,Manufacturer Finance,0.0,80100.0,False,0,4,4.8,1
1390,20240329,20240419,21,CAR00406,CUST003850,Asia Pacific,Australia,BMW Sydney,Olivia Hassan,Corporate Fleet,Auto Show Event,Bank Loan,3.72,110336.88,False,0,4,4.8,1
1391,20260212,20260502,79,CAR01003,CUST001912,Asia Pacific,Singapore,Performance Motors Singapore,Fatima Zhang,Individual,Dealership Walk-in,Manufacturer Finance,4.98,80386.92,False,0,4,4.3,1
1392,20240504,20240805,93,CAR01004,CUST002110,Middle East,Qatar,BMW Doha,David Kim,Corporate Fleet,Dealership Walk-in,Bank Loan,0.0,79900.0,False,0,4,4.4,1
1393,20231006,20231215,70,CAR01005,CUST002911,Europe,Italy,BMW Roma,Nina Andersson,Individual,Dealership Walk-in,Lease,3.25,125194.5,False,0,4,4.0,1
1394,20231007,20231101,25,CAR01006,CUST003724,Europe,Germany,BMW Stuttgart Zentrum,Nina Tanaka,Individual,Referral,Bank Loan,1.94,92960.88,False,0,4,4.8,1
1395,20250708,20250811,34,CAR01007,CUST001362,Asia Pacific,Australia,BMW Melbourne,Maria Zhang,Individual,Dealership Walk-in,Lease,3.37,74018.58,False,0,4,5.0,1
1396,20230110,20230508,118,CAR00209,CUST001185,Middle East,Saudi Arabia,BMW Riyadh,Elena Zhang,Individual,Online Configurator,Bank Loan,0.0,86500.0,False,0,4,4.2,1
1397,20250519,20250714,56,CAR01008,CUST002193,North America,USA,Chicago M Motors,Liam Garcia,Individual,Dealership Walk-in,Lease,0.82,86484.96,False,0,4,3.8,1
1398,20241003,20241206,64,CAR01009,CUST001825,Asia Pacific,China,BMW Shanghai Jing'an,Fatima Rossi,Certified Pre-Owned Trade-In,Dealership Walk-in,Bank Loan,2.03,63778.47,True,21862,4,4.0,1
1399,20260509,20260615,37,CAR00215,CUST000477,Middle East,Saudi Arabia,BMW Riyadh,Lucas Kim,Individual,Online Configurator,Bank Loan,5.19,86751.15,False,0,4,4.6,1
1400,20230828,20231024,57,CAR01010,CUST003527,Asia Pacific,Australia,BMW Sydney,Laura Silva,Individual,Referral,Lease,5.25,78358.25,False,0,4,4.0,1
1401,20240525,20240906,104,CAR01011,CUST000161,Middle East,Qatar,BMW Doha,Elena Ivanov,Individual,Dealership Walk-in,Cash,6.31,89286.57,False,0,4,4.8,1
1402,20241020,20250124,96,CAR01012,CUST002875,Middle East,Saudi Arabia,BMW Riyadh,Laura Silva,Certified Pre-Owned Trade-In,Referral,Lease,0.98,100505.3,True,27442,4,4.6,1
1403,20250206,20250331,53,CAR00288,CUST003503,Europe,France,BMW Paris Champs-Élysées,Noah Andersson,Corporate Fleet,Online Configurator,Lease,2.39,85018.31,False,0,4,5.0,1
1404,20220119,20220512,113,CAR01013,CUST002231,North America,USA,BMW of Manhattan,Tom Silva,Individual,Referral,Lease,2.01,94364.37,False,0,4,5.0,1
1405,20241021,20241128,38,CAR00831,CUST003877,North America,USA,BMW of Miami,Julia Kim,Individual,Referral,Lease,4.74,94212.14,False,0,4,4.3,1
1406,20220317,20220630,105,CAR01014,CUST002538,Middle East,Qatar,BMW Doha,Fatima Zhang,Individual,Online Configurator,Manufacturer Finance,1.04,76595.04,False,0,4,3.8,1
1407,20220207,20220512,94,CAR01015,CUST002445,North America,USA,BMW of Miami,Sophie Park,Individual,Fleet Program,Cash,3.75,83737.5,False,0,4,4.1,1
1408,20251009,20251230,82,CAR00629,CUST000241,Europe,United Kingdom,BMW Manchester,Elena Cohen,Lease Return Buyout,Dealership Walk-in,Manufacturer Finance,2.59,136861.05,False,0,4,4.5,1
1409,20230512,20230903,114,CAR00460,CUST002343,North America,USA,South Bay BMW,Emma Al-Farsi,Certified Pre-Owned Trade-In,Fleet Program,Bank Loan,2.54,91027.64,True,39874,4,4.6,1
1410,20230921,20231103,43,CAR00135,CUST003762,Europe,Switzerland,BMW Zürich,Wei Murphy,Individual,Auto Show Event,Cash,2.91,72914.59,False,0,4,4.0,1
1411,20220627,20220727,30,CAR00740,CUST001750,North America,USA,South Bay BMW,Anna Khan,Corporate Fleet,Referral,Manufacturer Finance,2.52,71452.84,False,0,4,4.5,1
1412,20221003,20221126,54,CAR00247,CUST003713,North America,Mexico,BMW Polanco,Felix Dubois,Individual,Online Configurator,Lease,3.39,72940.55,False,0,4,4.2,1
1413,20220705,20220922,79,CAR01016,CUST002350,North America,USA,South Bay BMW,Olivia Silva,Corporate Fleet,Dealership Walk-in,Manufacturer Finance,1.95,143447.15,False,0,4,4.0,1
1414,20250810,20251201,113,CAR00642,CUST002761,North America,Canada,BMW Vancouver,Noah Andersson,Individual,Dealership Walk-in,Bank Loan,4.23,136568.02,False,0,4,5.0,1
1415,20240421,20240602,42,CAR01017,CUST001572,North America,USA,BMW of Manhattan,Nina Hassan,Certified Pre-Owned Trade-In,Referral,Lease,0.0,134400.0,True,28232,4,4.7,1
1416,20221206,20230403,118,CAR00695,CUST001493,North America,Canada,BMW Vancouver,Marco Müller,Individual,Referral,Cash,6.05,74784.2,False,0,4,4.4,1
1417,20220411,20220615,65,CAR01018,CUST000103,North America,Canada,BMW Vancouver,Wei Murphy,Individual,Dealership Walk-in,Bank Loan,5.23,148315.05,False,0,4,5.0,1
1418,20240306,20240626,112,CAR01019,CUST001153,North America,Mexico,BMW Polanco,Maria Zhang,Certified Pre-Owned Trade-In,Online Configurator,Lease,1.06,74303.94,True,18079,4,4.0,1
1419,20220416,20220731,106,CAR00761,CUST002864,Asia Pacific,Australia,BMW Melbourne,Liam Garcia,Individual,Fleet Program,Manufacturer Finance,0.0,86000.0,False,0,4,4.0,1
1420,20250926,20251017,21,CAR01020,CUST001043,North America,Canada,BMW Vancouver,Karim Cohen,Individual,Dealership Walk-in,Manufacturer Finance,4.68,77399.84,False,0,4,4.7,1
1421,20241104,20250122,79,CAR00449,CUST003725,Middle East,Qatar,BMW Doha,Julia Cohen,Individual,Dealership Walk-in,Lease,3.74,123212.8,False,0,4,4.5,1
1422,20240219,20240323,33,CAR00204,CUST000657,North America,Mexico,BMW Polanco,Liam Garcia,Individual,Dealership Walk-in,Lease,4.34,84850.42,False,0,4,4.1,1
1423,20241110,20250213,95,CAR01021,CUST003388,North America,Canada,BMW Vancouver,Fatima Zhang,Individual,Referral,Bank Loan,4.57,132552.27,False,0,4,4.6,1
1424,20241106,20241216,40,CAR00148,CUST000149,Asia Pacific,Singapore,Performance Motors Singapore,Anna Weber,Individual,Referral,Lease,2.11,91135.59,False,0,4,3.6,1
1425,20220402,20220611,70,CAR01022,CUST003702,North America,Mexico,BMW Polanco,Tom Silva,Individual,Dealership Walk-in,Bank Loan,0.0,85200.0,False,0,4,4.2,1
1426,20221220,20230107,18,CAR00156,CUST000055,Asia Pacific,South Korea,BMW Seoul Gangnam,Tom Tanaka,Individual,Dealership Walk-in,Cash,0.9,92262.1,False,0,4,4.2,1
1427,20260507,20260603,27,CAR01023,CUST000139,Asia Pacific,Singapore,Performance Motors Singapore,Karim Cohen,Individual,Dealership Walk-in,Lease,1.13,154731.55,False,0,4,5.0,1
1428,20230422,20230702,71,CAR01024,CUST001712,North America,Mexico,BMW Polanco,Felix Dubois,Corporate Fleet,Dealership Walk-in,Cash,3.08,87324.92,False,0,4,5.0,1
1429,20250125,20250414,79,CAR00286,CUST000594,Europe,Spain,BMW Barcelona,Nina Andersson,Individual,Online Configurator,Manufacturer Finance,2.87,92662.02,False,0,4,4.9,1
1430,20250318,20250506,49,CAR01025,CUST001811,Rest of World,South Africa,BMW Johannesburg,Elena Cohen,Individual,Online Configurator,Lease,2.4,157038.4,False,0,4,4.8,1
